review	tagging
#NAME?	0
#NAME?	1
"ZTE Axon Elite 5.5"" Octa Core 4G LTE Android 5.0 HD Smartphone it's a great device i'm very happy with it  10 star"	1
"ZERO STARS, NEVER GOT PHONE  WOULD NOT RETURN MSGS. A TOTAL SCAM!!! DO NOT BUY FROM THIS SELLER, HE&apos;LL TAKE YOUR MONEY AND LAUGH ALL THE WAY TO THE BANK!"	0
Zero score for this piece of junk not as described. Seller not to be trusted for any product.	0
Your the best bud keep up the grate work	1
"Your message to eBay Customer Support:  &quot;The seller has agreed to return the money back, but never did. The seller confirmed he posted the cell but i never received it. It seems the seller never had a cell phone to sell to begin with. The title post says the cell is iPhone 4s Black color.. &quot;Apple iPhone 4s - 16GB - BLACK &quot; but the Key Features says the cell is white &quot;Color White&quot;."	0
Your customer service is excellent and Shipping is super fast. Though am yet to start using the phone but your sales team is very excellent. 	1
Your advertisement says for Virgin Mobile and I recieved a sprint phone. Prepaid companies like Virgin Mobile CANNOT activate unlocked phones from other companies either so you really need to start getting honest with people. I want a FULL refund!!!! 	0
"You wrote a description on the phone , which is not just to deceive people to buy them. "	0
You sold me a stolen phone . 	0
You sold me a locked phone. I cant switch my number to it. You have 2 call metro and tell them you want the imei and phone number cancelled because you sold the phone so i can use it..	0
You should not tell people that they have a 30 day return if you don't enforce your policy!!!!!! 	0
You should know better than me that the cell battery was not GOOD. You did not specify so in you add when selling the item. I don't think I will bay from you again neither recommend some one else 	0
"you should buy it caught my attention for its style and elegance, plus I liked the applications, but it all started very badly since I lit that served no TV, and in ten minutes the screen stopped working and I could see but not recommend it because it was a bad experience and its price is not low enough to not serve even a day"	0
"You ship from the US, but you don't ship to the US.  Then towards the end of your spiel, you CAN ship to the US."	0
You see it it should have came with headphones and a touch pen. My son lovesit you should sell more for that price. I want one for all of us.	1
"YOU SAY AS DELIVERY IN APRIL 27 'HOW CAN NOW THE STUFF FOR SAY IS GOOD OR NOT AND YOUR WEB SITE HAVE IN MY ORDERS VERY, VERY MISTAKES."	1
"You need to send the battery cover for the cell phone to make it usable. Let me know when I will receive this item, as I am planning on using the phone on my up coming vacation."	0
you lie tome.you tellme phones has good screen but phones screen has spots and ights	0
"You know what really boggles my mind? How most people, when they buy a phone today, don&apos;t actually want a phone. They want a portable device that mimics the internet capabilities of a computer, but at the same time they&apos;re willing to sacrifice individuality and overall &apos;uniqueness in design&apos; of their mobile device just so that they can conveniently access their facebook and twitter accounts.    I bought this phone because I don&apos;t have a facebook, and could care less about what happens on twitter. I bought this phone with MYSELF in mind. I chose something that matches my individuality, my personality, and my obsession over proper design.    Alot of people nowadays have difficulty accepting a cell phone that isn&apos;t a touchscreen.  They have problems pressing real buttons that make a real click sound, and just like their diets, they want the feeling of that button to be artificial.    The Sony Ericsson T700 has no artificial ingredients, no preservatives and no added sweetner. It&apos;s a phone, and it makes phone calls. This is what nature intended. And it makes these phone calls (as well as sending text messages) surprisingly well.    Calls are nearly always crisp, the speakerphone loud, and the external speaker has remarkable audio quality.    The phone&apos;s overall construction is great too. The buttons click with a solid, quality feel to them, and the rear 2/3rds of the battery cover is made with real polished stainless steel.    The display is also vibrant and colors are vivid. 262k colors are more than enough to show pictures and even short video recordings to friends (audio quality in this department is great too).    And, in signature Sony Ericsson style, the T700 features a flash light. And it&apos;s wonderfully bright, both for lighting a walkway in front of you and blinding any potential enemies that may cross your way. The SOS (morse code function) of the flash light is good to have, and a brilliant idea to boot.    Next to the flashlight is a 3.2Mp camera. It&apos;s great, it&apos;s clear and it does the job incredibly well.    Unlike new phones where corporations want to tell you what to do with your life (but they prentend you&apos;re in control of everything), the T700 comes with a USB data cable that hooks up to your PC. Just plug it in and you can access your phone&apos;s file system in a snap. And if you&apos;re lucky enough like me to have bluetooth built into your computer, just switch BT on both devices, pair them, and voila: wireless data transfer.    Here&apos;s something else that&apos;s pretty cool, and will probably get you a hot date:    If you have a laptop (any PC really) with bluetooth, and both devices are paired, you can use the phone as a mouse and control your computer. You can also scroll through websites looking like some hot shot. Try doing that with a &quot;smart phone&quot;.    Gripes? Sure:    -If you&apos;re a big macho man like me, you might find the keys a little too close together resulting in misjudged key pressing.    -No autofocus! My previous T650 had it, and I&apos;m sad to see this feature gone.    -Charge/Data port is still the original 5 year old design. Can cause unreliable charging if too much dust accumulates on contacts. Keep a thumb tack next to your charger at night.    Other than that, I&apos;ve got no other regrets. Looks better in person than online. Very unique looking when you&apos;re out in public (especially at school) and you see everyone using either dingusberries or idrones.    All in all, you just can&apos;t go wrong with a number-padded Sony Ericsson."	1
"You just can not beat this phone at 150$.It smokes many phones costing 3 times as much. Sturdy aluminium casing,fast and pack with features +16mp camera. You can't go wrong."	1
You had better not buy from these people. They will rip you off. They ripped me off for a 26 dollar phone. They will also lie about there products.	0
"You get what you pay for. It took me 8 hours at the sprint store to get this phone activated. I had to go to a store across town because the sim card is not very common. It works now, but the center of the touchscreen is not sensitive at all and google play crashes half the time I try to open it up. Would not buy again."	0
"You get what you pay for.  I downgraded from Samsung to a cheaper BLU phone only because I was nto sure that I was going to stay with my phone service much longer and if I switch in the not-too-distant future, then I did not want to lay out a large sum of money for a useless phone.  This phone is does the job well enough to fill the gap.  I needed to replace a broken Samsung phone and Fry's Electronics sells BLU phones, so I talked with the salesman, handled one in the store, and felt reasonably safe in purchasing it.  There are a few pros, but more cons, which is why I really do not care for this phone and will replace it as soon is I've gotten my use out of it. Pros:  This model has a bright screen, a fast CPU, and does not lag in videos, unless your carrier is weak.  It is well built, light weight, and the 8MP camera is outstanding for both video and pics.  The ringtones included are voluminous and the ability to change setup and personalizing it works well.  the speaker and mic works well, maybe better than the phone I replaced, but it was a few years old.  Anyway, people have no problem hearing and understanding me and vice versa.     Cons:  The program interface is bad.  For example, you can't directly go to other phone functions from another page.  Instead, you have to swi"	0
"You get what you pay for, belt clip broke within a week, your phone slides in from one end making it impossible to get it in and out of the case while seated."	0
You get an awesome product for a good price. I am recommending others to this product.	1
you do not have a stable price because before you had this phone at 87.99 and now it is 100 dollars that you spend	0
You didn't send me what I asked for.  I requested a s7  you sent me s5. 1 paid for the s7. The 5 is to small	0
"you could hardly do anything on this phone but snake, etc, and it was awhile back, you could text, but it was not really made for a texting qwerty phone, it didnt have that, kind of a low level phone, she just really needed something simple.    so if your kid is asking you for a phone, you can probably find something like this, because it is a tough phone and can be tossed around, believe me, my cousin and i tried this when she was done with it and got the lg 3400.    it fared well until we did pool diving it went off so we started hitting it more and more and killed the screen and finished the phone, then of course recycled it."	0
"You can't use data while on call. Reception horrible even in middle of 4g area. Tried new SIM...didn't help. Goes from full 4g signal to one bar of 1x when a call connects. Older Android with same SIM card has better reception and functionality...When I contacted seller to let them know, after trouble shooting for weeks with carrier, seller was defensive and unhelpful. Sad to have such technology and it be as worthless as a tin can and string..."	0
"You can't trust this seller. The seller is in China but the shipping in New Jersey. Email only in middle of night & no customer  phone #. I was 1st sent a broken phone then 2nd phone sent wasn't unlocked & wrong color. I didn't find out my carrier couldn't unlock it until I bought new sim card & then I didn't have phone. Then it cost more $ to send it back,no free shipping. I ended up buying new phone from local store which I could of done weeks ago. So don't trust the ad even tho it has 5 star rating."	0
You can't hear very good when talking on it. I jave set every setting possible.	0
"You can't find a price this cheap for this type of phone. I paid less than $60 for it, unlock code, cost ¢99 end of story. High quality phone that would have cost me way over $ 200 or More!!! It was worth every penny. "	1
You can't do much with the phone. The phone works finen but be aware that the charger is not included.	0
You can tell that this item has a crack at the bottom corner and it is false advertisement to say that it is an open box when obviously this item has been used.	0
You can receive and send texts but the calling quality is extremely poor caller cannot hear you. Not happy with the product. 	0
You can not activate cell phones that are older like the 60i as they do not the 911 chip in them. I bought several in a row and lost money on it as e-bay did not care that the phones are obsolete and that the sellers sold phones that said they would work and cant be used.  E-BAY WILL NOT HELP YOU GET YOUR MONEY BACK. BE VERY CAREFUL!	0
you can no longer get the sms cards for these phones they where a waist of my money. I have tried to perches them on line and in a sprint store I was just sol.	0
You can get the same phone for 18.99$ Seriously man why would you do that!?	0
You can get the same one at Walmart brand new for $200... You will never sell unless you go down on price	0
You can get it for 458$.	0
"You buy a $50 dollar phone, with a $15 dollar Ganess subscription that you need to renew every 90 days. After ban, Bot is worthless.*(cant reuse it)  Good profit for them, bad for your wallet, and your fellow agents!  "	0
You are not allowed to fly with this phone in your possession. It could burst into flames. It has been discontinued & recalled. Instead of possibly injuring someone to make a few dollars you should just get your refund & pick another phone. SHAME ON YOU!	0
you are a swindler my money never returned	0
You are a big diff	0
yes.is very good. proposed will certainly.mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm	1
"yes..............................................................................................................................  .........................  ..................................,,,,  ...........................    .................................................................................................................  .................................  llllllllllllllllllllllllllllllllllllllllllllll  lllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll"	1
"Yes, this phone is great and it works very well... I would defiantly buy from this seller again.&quot;....................&quot;.........................................................................................................................................................."	1
"Yes, then you are not serious and ibey too return May Dengi"	0
