review	TAGGING
ippment and easu to chat with. Great customer service 	1
Love the phone. Gets great signal if you're on T-Mobile. Speakers sound great and screen looks gorgeous. There arent a lot of roms availavle for this version and in just now starting to try gcam apks that havent crashed. In coning from a phone with 32gb internal and bad speakers so I'm in love with thia phone. Make sure to get a cse becauae a durabolity video showed that it soes break from a 3 foot fall	1
"Love the phone. Great feel and size, takes quality pix, easy to use, voice controls anything you ask of her.  At this price for this much memory you cannot go wrong!"	1
love the phone. Hard to get used to the MUTE or UNMUTE. Have gone silent for awhile. It&apos;s purple what could possibly be better	1
Love the phone. HTC for life for me. Just my personal opinion. Went from a DNA to the one M9. Probably going to get the M10. Seller has like NEW phones. So happy. THANKS again!!!!	1
"Love the phone. If you like flip phones, this is the one. Rugged and sleek. "	1
love the phone.has no scratch as said and in perfect condition as i expected.also great communicator	1
"Love the Plus! I switched from the regular iPhone 6. I like the bigger screen compared to the regular version. I was concerned it wouldn&apos;t fit in my pocket, but it fits fine."	1
Love the price and item was as advertised.  Was able to put my SIM card in and charge it and go!  Easy transaction through it all!	1
love the price but u get what u pay for...I could not get my messages so I had to go back to my old phone	0
love the privacy	1
Love the product because it is unlock and it works perfectly.The seller was true to his word and i hope to do business with him in the future. Thanks a lot.	1
"Love the product! ""Good deal, fast delivery will definitely order again from this seller"" "	1
"Love the product! ""Good deal, fast delivery will definitely order again from this seller"" "	1
Love the product! Works great and make my Job a whole lot easier. Lots of tools to work with. And the seller sent me a Top Rate! A Grade Unit! I couldn&apos;t be Happier!	1
love the quick ship cheaper than doing a new contract awsome phone beeter thgan the I phone! amazing phone!	1
love the quick ship cheaper than doing a new contract awsome phone beeter thgan the I phone! amazing phone!	1
"Love the screen size. It's perfect! Much better than any Android phone, including the S8. Get an iPhone! You won't regret it. "	1
"Love the side edge, gives you quick access without losing your screen. "	1
love the size love the screen great cell dont like the keyboard to small for my fat fingers but hey texting is elleagle while driving in mass now ha ha ha	1
Love the sleek design.  Easy layout of keys and easy to navigate through menus.  Camera is better than most other flip cell phones.    Would buy again.	1
love the style of phone and price but found that I could not use it in my area. they did not list this phone on the tracfone site so I wasn&apos;t able to check to see if it was compatible in this area. Didn&apos;t find out until I tried to transfer number from one phone to the other and was unable to.	1
"Love the styling and the simplicity. I&apos;ve had one of these a few years ago and regretted selling it. It might not have a camera and flashy features, bit it is way cooler than anything around at the momen, it&apos;s the right size and it does the job!! I can&apos;t say anything negative about it at all!!"	1
"Love the thin design, huge internal space, as well as dual SIM. Camera takes beautiful pics. My favorite phone thus so far. Would definitely recommend to friends and family."	1
"Love the touch screen, size, quaulity phone Never had a problem with this phone and the camera is one of the best, Love that you can give commands and get response and that its a smart phone so when my phone was stole I replaced it with this same phone and they were able in just minutes download all my numbers to this phone that made my day in every way."	1
"Love the touch screen,great features.Best phone I&apos;ve ever owned hands down.  Bought because I broke the screen on my other rumor touch.  Nothing that I&apos;ve found to dislike about it.Great battery life also."	1
Love the unlimited photo storage with Google. Smooth navigation with nice now playing for music. 	1
"Love the usb-c charging cable, you don't have to insert one way, fits up or down not just one way"	1
"Love the way it looks. Everyone stops me to ask where did I get it. Very nice phone, I would buy it again no hesitation. It looks so much bigger in the pictures, I was surprised of its size when I got it home, I expected it to be big but no. GREAT phone."	1
love these little phones..even though ATT no longer sells them or the proper holster....battery last good...very durable....camera leaves a little to be desired.....glad these are readily available on e-bay...i have 2 for spares and would buy another when needed....ty	1
"Love this design of Sony! The phone looks nice and performs fast. The battery easily lasts more than a day. The sound is really good and loud from its dual speakers. IP68, Quick Charge 3.0.  The phone has both: The type-C port and the Headphone jack too, which makes it even greater!"	1
Love this flip phone.  I upgraded to a more modern style and went back to this after a few months.  This is so lightweight it doesn't weigh my purse down and can fit into any pocket nicely.  Long lasting battery and nice and clear to talk on.  Easy to use.	1
Love this iPhone better than any other one I've ever had and have been an apple customer for years. 	1
Love this iphone! the sound quality and the voice quality is great. It has a long battery life. Looks beautiful and does all that i expect from an iphone 8 plus. You cant run out of storage with 256g. Very happy with this purchase. 	1
Love this iPhone!!! 	1
LOVE THIS ITEM!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	1
Love this item. Wonderful phone.	1
Love this phone  	1
Love this phone - I may be old school but I appreciate the dependability and longevity - don't need a new improved version every time something comes out.  If it aint broke don't fix (or change) it.  I have had this phone since 2004 (when Cingular was still around) - It is still working but like myself is beginning to show it's age  I get teased a lot but I LOVE this phone and as long as I can find one out there still working I will continue to have this model phone -  thank you eBay :)	1
love this phone  it holds a video card for extra space   great deal  good buy  great response time  all around i am happy with service	1
Love this phone - it is beyond my wildest dreams - everything you could ever want in a phone and more.	1
"Love this phone , my daughter is gonna flip out over this phone it was brand new nothing wrong with it!!! Great seller!!!"	1
love this phone although I was unable to use it on my contract carrier I used wifi Line Vox Youtube and numerous other wifi accessable sites.	1
Love this phone and all the extra options available	1
Love this phone and I can't believe how quickly I got use to the 6 inch screen.	1
Love this phone and seller helped me with problem.	1
Love this phone and want to use it forever! it does all the things that a phone should do. very easy to use. has an alarm. plays ringtones.	1
love this phone battery last all day dont freeze up and takes 30 min to fully charge awesome phone fast downloads and awesome pics just a awesome phone	1
"Love this phone excellent tool for texting this was my first experience on ebay &amp; it was definately a good one, I will be back. As a matter of fact I&apos;m actually thinking about buying the same phone when its time for my contract renewal. As for the man I purchased it from would buy from him in a heartbeat if he&apos;s got any more things to sell let me know, kidding. thank you windycity madmen you just made this lil lady happy woman!!!! Missi"	1
Love this phone for a simple call and text phone...Seller was great with fast shipping . Phone was in great shape. Description was accurate.....................................................................................................................................................................................................................................................................................................	1
Love this phone got it because of the ruggedness and love flip phones. Good camera good sound. only thing i don&apos;t like is there is no way to silence call when phone is closed. But a great phone for the price. especially good for someone in the construction business where phones take a beating.	1
love this phone its fast the browser is fast and you cant beat a flip smart phone overall a great buy!!!	1
Love this phone its great.	1
Love this phone iv'e had lots of phones but None like this one.	1
Love this phone my Doughter was so happy thanks man or mam  	1
Love this phone so far  	1
love this phone the screen is amazing the windows phone 8.1 Is smooth the apps are getting better which just adds to the value	1
Love this phone the track pad much better than ball faster wifi is the works free brousing the web whrn credit low.It small enough to fit in your pocket	1
Love this phone very nice this is my second one and would recommend it to anybody    A+++++++++++++++++++++++++++++++++++++++++++++++++++	1
"Love this phone!  Bought it because my old phone was worse than obsolete at greater than 2 1/2 years old.  I love the size, shape and contour of this phone.  It actually feels good to hold in your hand.  Most new top of line smartphones are way too large to fit comfortably in your pocket. Would definitely buy again.  Only thing I don&apos;t like is like most new phone models now there is no micro-SD slot to add memory. Also not happy that Google recently sold Motorola to Lenovo a chinese company.  Glad that my phone was manufactured in USA."	1
