review	TAGGING
"Howdy,  this is a superb phone. I had an iphone before this, and honestly i like this more. I love the andriod OS, it&apos;s amazing. It takes some getting used to, but it&apos;s awesome once ya get the hang of it. The andriod market is great too, and most of the apps are free unlike the iphone appstore. The call quality and volume is good. It has a super display as well, things look sweet. The touch screen works well too. The phone build is nice too, has a sleek and funky look to it. On the whole, it&apos;s a great phone and you will LOVE it."	1
"HTC Desire 816 which I really love it! But I'm not satisfy that there is 8gb in it, and I put 32gb and won't let me download more. Also text message is acting so weird with low service bars. "	0
"HTC Evo is a great phone hands down. Best smart phone views and reviews beat iphone4 all who havea problem with Evo battery havent done research. Advance task killer, advandce Manager Killer, Juice Defender, all free apps battery just about doubles, but for those who question set both task killers to ignore each other and juice defender, and set auto kills to when screen is turned off and no delay time battery life will greatly increase"	1
"HTC HD2 is great phone for business, it is like a palm but with everything you ever wanted. Phone, text, wheater, wifi, gps... the screen is really amazing, brillant colors and the power of 1ghz."	1
"HTC Tattoo is a very good phone. It integrates Googles innovative mobile services including: Google Maps, Google Search, Google Mail, and Android Market where users can download thousands of popular applications and games. It also comes complete with a broad variety of hardware features including a 3.2 megapixel camera, 3.5mm stereo headset jack and expandable microSD memory."	1
"HTC T-Mobile MyTouch 3G is an outstanding product!  I wanted to be able to expand my communication options..and this is the phone for it! It&apos;s great to have WiFi on the phone too. I love to ease of operation..especially the ability to add free apps..to make the phone even more interesting.  I like email, weather, news, gas/price, mapping and shopping apps in particular.  I know most folks would like the bigger screens on the newer 4g&apos;s but I enjoy the more compact carry/use size.  Can&apos;t think of anything I don&apos;t like. I would buy again..will have a spare."	1
HTC Touch Diamond (Sprint Nextel)HTC Touch Diamond (Sprint Nextel)HTC Touch Diamond (Sprint Nextel)HTC Touch Diamond (Sprint Nextel)	1
HTC Touch Dual (Unlocked)HTC Touch Dual (Unlocked)HTC Touch Dual (Unlocked)HTC Touch Dual (Unlocked)HTC Touch Dual (Unlocked)HTC Touch Dual (Unlocked)	1
"HTC&apos;s One SV has arrived, and joins a plethora of above-average-spec handsets vying for your money. Available on Cricket in the US and EE in the UK, the 4.3-inch, LTE-ready device fits into the One series between the low-end V and, you guessed it, the better-equipped S. It&apos;s a curious release for HTC, given the One VX has just launched with almost identical specs, apart from the 4.5-inch, qHD (960 x 540) screen slightly besting that of the SV. Based on our quick hands-on time at CES, you may have already gathered that it&apos;s not a powerhouse built to wow you with raw benchmarks scores. But how, exactly, does it compare to its bigger brothers in the series? And, what does it offer people who are more concerned with their budget than 1080p displays or octo-core processors? Head beyond the fold for our full musings."	1
"HTC. Hell of a Time Charging. After being a long time other brand user i decided to get this phone because of the rave reviews however from the phone i received was not worth more than a star. Whats good; Nice looking, fast boot up, easy to use interface. Its your average android powered phone. Camera seemed good enough only used it a few times. Bad: The battery/power management on this phone are garbo.. After 40 percent battery your phone could die at any second and just chain reboot itself out of power trying to get it to turn back on. This is something that happened ON EVERY CHARGE. It started snowing outside today and having a phone that i know will work when i need it to im sending it back today. Also it seems fairly annoying to find a screen protector and case for this phone, no local retailers carry it a few places carry the protective glass online but they are just generic fits. Maybe the phone i received was a fluke but for me and being my first time out with this brand i will not be trying the HTC 10 again back to the drawing board and back goes the accessories i ordered."	0
http://www.walmart.com/search/search-ng.do?search_query=Samsung+R355C&amp;ic=48_0&amp;Find=Find&amp;search_constraint=3944    U can buy this phone new for $75 and $30 for card makes it $105 but is NEW not REFURBISHED. Is only $15 more.	0
http://www.walmart.com/search/search-ng.do?search_query=Samsung+R355C&amp;ic=48_0&amp;Find=Find&amp;search_constraint=3944    U can buy this phone new for $75 and $30 for card makes it $105 but is NEW not REFURBISHED. Is only $15 more.	0
"hubo un peque�o detalle en el envio,el telefono llego en excelente estado pero el cargador que envio con el telefono no funciona porque es un oem de baja capacidad  de corriente "	1
"Huge improvement from my previous cell phone, much quicker and great pictures. Thus far works great and am enjoying learning the additional features that it has. "	1
"Huge screen, quick processor (not like Huawei Ascend from Cricket/Metro PCs) and others. I would say this phone is at the level of the Dell Streak. Screen resolution is great. I am a very busy person so I only care about productivity and my calendar, tasks, etc are very quick and that is what i care the most. Very satisfied with it."	1
